id,year,team1,score1,score2,team2,Play Off Game?,Home Odds,Draw Odds,Away Odds,Bookmakers Surveyed,Date,Kick-off (local)
0,2016,Western Sydney,2,2,Newcastle Jets,N,1.78,3.88,4.26,14,23-Oct-16,19:00
1,2016,Wellington Phoenix,0,1,Sydney FC,N,3.61,3.6,2,14,23-Oct-16,19:00
2,2016,Adelaide Utd,1,2,Melbourne Victory,N,2.47,3.44,2.78,14,22-Oct-16,19:20
3,2016,Central Coast Mariners,0,1,Brisbane Roar,N,4.36,4.03,1.73,14,22-Oct-16,17:35
4,2016,Melbourne City,2,3,Perth Glory,N,1.5,4.56,5.78,14,21-Oct-16,19:50
5,2016,Perth Glory,2,0,Wellington Phoenix,N,1.75,3.91,4.38,13,16-Oct-16,16:00
6,2016,Newcastle Jets,4,0,Brisbane Roar,N,3.42,3.58,2.05,13,16-Oct-16,17:00
7,2016,Melbourne Victory,1,4,Melbourne City,N,2.34,3.49,2.87,14,15-Oct-16,19:50
8,2016,Sydney FC,4,0,Central Coast Mariners,N,1.27,6.03,9.95,14,15-Oct-16,17:35
9,2016,Adelaide Utd,1,2,Western Sydney,N,1.91,3.64,3.82,14,14-Oct-16,19:20
10,2016,Newcastle Jets,1,1,Adelaide Utd,N,3.11,3.41,2.25,15,09-Oct-16,17:00
11,2016,Perth Glory,3,3,Central Coast Mariners,N,1.38,4.91,7.5,15,08-Oct-16,19:00
12,2016,Western Sydney,0,4,Sydney FC,N,3.26,3.37,2.19,15,08-Oct-16,19:50
13,2016,Wellington Phoenix,0,1,Melbourne City,N,3.76,3.85,1.87,15,08-Oct-16,19:35
14,2016,Brisbane Roar,1,1,Melbourne Victory,N,2.35,3.42,2.93,15,07-Oct-16,18:50
15,2016,Adelaide Utd,3,1,Western Sydney,Y,2.44,3.27,2.89,16,01-May-16,15:30
16,2016,Western Sydney,4,4,Brisbane Roar,Y,1.94,3.67,3.69,16,24-Apr-16,17:00
17,2016,Adelaide Utd,4,1,Melbourne City,Y,1.89,3.7,3.8,16,22-Apr-16,19:15
18,2016,Melbourne City,2,0,Perth Glory,Y,2.27,3.53,2.98,16,17-Apr-16,17:00
19,2016,Brisbane Roar,2,1,Melbourne Victory,Y,2.14,3.54,3.2,16,15-Apr-16,19:35
20,2016,Sydney FC,4,0,Perth Glory,N,2.71,3.46,2.47,16,10-Apr-16,17:00
21,2016,Wellington Phoenix,0,2,Western Sydney,N,8.21,5.55,1.32,16,10-Apr-16,17:00
22,2016,Melbourne Victory,0,0,Brisbane Roar,N,4.19,4,1.74,16,09-Apr-16,19:30
23,2016,Central Coast Mariners,2,4,Newcastle Jets,N,2.72,3.52,2.44,16,09-Apr-16,17:15
24,2016,Melbourne City,0,2,Adelaide Utd,N,2.08,3.82,3.06,16,08-Apr-16,19:40
25,2016,Perth Glory,3,2,Melbourne City,N,2.61,3.72,2.43,16,03-Apr-16,17:00
26,2016,Brisbane Roar,2,1,Newcastle Jets,N,1.35,5.3,7.7,16,03-Apr-16,17:00
27,2016,Sydney FC,0,2,Adelaide Utd,N,3.39,3.7,2.02,16,02-Apr-16,19:30
28,2016,Wellington Phoenix,1,4,Melbourne Victory,N,3.87,3.53,1.9,16,02-Apr-16,19:15
29,2016,Western Sydney,4,1,Central Coast Mariners,N,1.21,6.56,11.78,16,01-Apr-16,19:40
30,2016,Melbourne City,3,0,Wellington Phoenix,N,1.51,4.62,5.46,16,28-Mar-16,19:30
31,2016,Adelaide Utd,4,2,Central Coast Mariners,N,1.28,5.69,9.29,16,27-Mar-16,16:30
32,2016,Brisbane Roar,3,2,Sydney FC,N,1.9,3.71,3.68,16,26-Mar-16,18:30
33,2016,Newcastle Jets,1,2,Perth Glory,N,3.81,3.74,1.88,16,26-Mar-16,17:15
34,2016,Melbourne Victory,2,0,Western Sydney,N,2.67,3.41,2.53,16,25-Mar-16,19:40
35,2016,Melbourne Victory,1,1,Newcastle Jets,N,1.39,4.88,7.29,16,20-Mar-16,17:00
36,2016,Wellington Phoenix,1,2,Perth Glory,N,2.55,3.58,2.56,16,20-Mar-16,17:00
37,2016,Western Sydney,0,0,Adelaide Utd,N,1.77,3.9,4.11,16,19-Mar-16,19:30
38,2016,Central Coast Mariners,2,2,Sydney FC,N,5.76,4.29,1.53,16,19-Mar-16,17:15
39,2016,Melbourne City,3,1,Brisbane Roar,N,2.12,3.79,3.04,16,18-Mar-16,19:40
40,2016,Newcastle Jets,0,1,Western Sydney,N,4.8,4.06,1.65,16,13-Mar-16,17:00
41,2016,Perth Glory,4,0,Central Coast Mariners,N,1.37,5.15,7.38,16,12-Mar-16,16:40
42,2016,Brisbane Roar,5,0,Melbourne Victory,N,2.35,3.51,2.86,16,12-Mar-16,18:30
43,2016,Sydney FC,1,3,Wellington Phoenix,N,1.61,4.16,5.07,16,12-Mar-16,17:15
44,2016,Adelaide Utd,0,1,Melbourne City,N,1.98,3.84,3.37,16,11-Mar-16,19:10
45,2016,Perth Glory,2,0,Newcastle Jets,N,1.52,4.38,5.6,16,07-Mar-16,17:00
46,2016,Central Coast Mariners,0,2,Melbourne Victory,N,6.04,4.5,1.48,16,06-Mar-16,17:00
47,2016,Melbourne City,3,0,Sydney FC,N,2.06,3.64,3.27,16,05-Mar-16,19:30
48,2016,Wellington Phoenix,0,4,Adelaide Utd,N,3.06,3.65,2.17,16,05-Mar-16,19:15
49,2016,Brisbane Roar,3,2,Western Sydney,N,2.14,3.53,3.11,16,04-Mar-16,19:00
50,2016,Central Coast Mariners,0,1,Newcastle Jets,N,2.89,3.56,2.31,16,28-Feb-16,17:00
51,2016,Melbourne Victory,1,1,Sydney FC,N,2.1,3.56,3.27,16,27-Feb-16,19:30
52,2016,Adelaide Utd,3,0,Brisbane Roar,N,2.17,3.55,3.12,16,27-Feb-16,16:45
53,2016,Western Sydney,2,1,Perth Glory,N,1.6,4.2,4.83,16,26-Feb-16,19:40
54,2016,Wellington Phoenix,2,1,Melbourne City,N,2.7,3.7,2.36,16,26-Feb-16,19:30
55,2016,Melbourne City,4,1,Central Coast Mariners,N,1.47,4.92,5.59,16,21-Feb-16,17:00
56,2016,Perth Glory,6,3,Brisbane Roar,N,2.71,3.48,2.46,16,20-Feb-16,16:40
57,2016,Sydney FC,1,1,Western Sydney,N,2.56,3.44,2.63,16,20-Feb-16,19:30
58,2016,Newcastle Jets,3,2,Wellington Phoenix,N,2.56,3.55,2.58,16,20-Feb-16,17:15
59,2016,Melbourne Victory,0,1,Adelaide Utd,N,1.99,3.65,3.49,16,19-Feb-16,19:40
60,2016,Central Coast Mariners,2,3,Adelaide Utd,N,4.42,3.96,1.72,16,14-Feb-16,19:00
61,2016,Western Sydney,2,5,Wellington Phoenix,N,1.47,4.45,6.28,16,14-Feb-16,17:00
62,2016,Melbourne City,2,2,Melbourne Victory,N,2.85,3.64,2.25,16,13-Feb-16,19:30
63,2016,Sydney FC,1,2,Perth Glory,N,1.63,4.01,5.08,16,13-Feb-16,17:15
64,2016,Brisbane Roar,2,2,Newcastle Jets,N,1.41,4.78,6.98,16,12-Feb-16,19:00
65,2016,Newcastle Jets,2,1,Melbourne City,N,4.24,4.09,1.72,16,07-Feb-16,17:00
66,2016,Wellington Phoenix,0,1,Perth Glory,N,2.59,3.54,2.55,16,07-Feb-16,17:00
67,2016,Melbourne Victory,1,1,Western Sydney,N,2.37,3.45,2.85,16,06-Feb-16,19:30
68,2016,Brisbane Roar,4,0,Central Coast Mariners,N,1.33,5.42,8.14,16,06-Feb-16,16:15
69,2016,Adelaide Utd,2,2,Sydney FC,N,2.34,3.4,2.92,16,05-Feb-16,19:10
70,2016,Adelaide Utd,1,0,Newcastle Jets,N,1.3,5.48,9.43,14,31-Jan-16,16:30
71,2016,Perth Glory,3,2,Melbourne Victory,N,3.73,3.73,1.92,14,30-Jan-16,18:40
72,2016,Sydney FC,1,3,Brisbane Roar,N,2.07,3.39,3.54,14,30-Jan-16,19:30
73,2016,Wellington Phoenix,1,3,Central Coast Mariners,N,2.22,3.57,3.07,14,30-Jan-16,19:15
74,2016,Western Sydney,4,3,Melbourne City,N,1.76,4.04,4.1,14,29-Jan-16,19:40
75,2016,Melbourne Victory,1,0,Sydney FC,N,1.97,3.43,3.72,14,26-Jan-16,19:30
76,2016,Melbourne City,3,1,Wellington Phoenix,N,1.5,4.7,5.62,14,25-Jan-16,19:30
77,2016,Newcastle Jets,1,6,Perth Glory,N,2.64,3.28,2.68,14,24-Jan-16,17:00
78,2016,Central Coast Mariners,1,2,Western Sydney,N,6.15,4.3,1.51,14,23-Jan-16,19:30
79,2016,Brisbane Roar,1,4,Adelaide Utd,N,2.19,3.51,3.1,14,22-Jan-16,19:00
80,2016,Newcastle Jets,3,1,Wellington Phoenix,N,2.47,3.27,2.86,13,17-Jan-16,17:00
81,2016,Perth Glory,2,2,Melbourne City,N,2.94,3.69,2.21,13,16-Jan-16,18:40
82,2016,Western Sydney,1,2,Sydney FC,N,2.04,3.39,3.64,13,16-Jan-16,19:30
83,2016,Adelaide Utd,3,1,Central Coast Mariners,N,1.42,4.72,6.78,13,16-Jan-16,16:45
84,2016,Melbourne Victory,4,0,Brisbane Roar,N,2.24,3.45,3.1,13,15-Jan-16,19:40
85,2016,Wellington Phoenix,0,0,Brisbane Roar,N,3.87,3.63,1.89,13,10-Jan-16,19:00
86,2016,Perth Glory,1,3,Adelaide Utd,N,3.16,3.42,2.19,13,09-Jan-16,18:40
87,2016,Melbourne City,3,2,Western Sydney,N,2.69,3.58,2.43,13,09-Jan-16,19:30
88,2016,Sydney FC,2,0,Newcastle Jets,N,1.44,4.49,6.82,13,09-Jan-16,17:15
89,2016,Central Coast Mariners,3,3,Melbourne Victory,N,6.82,4.57,1.44,13,08-Jan-16,19:40
90,2016,Newcastle Jets,0,1,Melbourne Victory,N,5.4,4.01,1.61,14,03-Jan-16,17:00
91,2016,Melbourne City,2,2,Sydney FC,N,2.72,3.47,2.47,14,02-Jan-16,19:30
92,2016,Brisbane Roar,2,1,Perth Glory,N,1.49,4.27,6.63,14,02-Jan-16,16:15
93,2016,Western Sydney,0,0,Adelaide Utd,N,1.81,3.62,4.39,14,01-Jan-16,19:40
94,2015,Central Coast Mariners,3,1,Wellington Phoenix,N,2.87,3.42,2.34,14,31-Dec-15,19:00
95,2015,Brisbane Roar,3,1,Melbourne City,N,2.15,3.64,3.12,15,27-Dec-15,18:00
96,2015,Melbourne Victory,1,1,Perth Glory,N,1.39,4.74,8.01,15,27-Dec-15,17:00
97,2015,Sydney FC,4,1,Central Coast Mariners,N,1.43,4.57,7.11,15,26-Dec-15,19:30
98,2015,Adelaide Utd,3,0,Wellington Phoenix,N,1.68,3.94,4.79,15,26-Dec-15,16:45
99,2015,Western Sydney,2,0,Newcastle Jets,N,1.39,4.79,7.8,15,24-Dec-15,19:00
100,2015,Central Coast Mariners,0,1,Brisbane Roar,N,4.53,3.81,1.74,15,20-Dec-15,17:00
101,2015,Perth Glory,2,2,Western Sydney,N,3.91,3.47,1.95,15,19-Dec-15,18:40
102,2015,Melbourne City,2,1,Melbourne Victory,N,2.48,3.54,2.69,15,19-Dec-15,19:30
103,2015,Wellington Phoenix,1,1,Sydney FC,N,2.51,3.42,2.73,15,19-Dec-15,19:15
104,2015,Newcastle Jets,0,0,Adelaide Utd,N,3.5,3.53,2.09,15,18-Dec-15,19:40
105,2015,Perth Glory,1,0,Melbourne Victory,N,3.69,3.57,1.97,15,16-Dec-15,18:00
106,2015,Newcastle Jets,0,4,Melbourne City,N,3.94,3.75,1.85,15,13-Dec-15,17:00
107,2015,Perth Glory,2,1,Central Coast Mariners,N,1.93,3.53,3.89,15,12-Dec-15,18:40
108,2015,Western Sydney,2,0,Melbourne Victory,N,2.42,3.41,2.84,15,12-Dec-15,19:30
109,2015,Brisbane Roar,2,1,Wellington Phoenix,N,1.96,3.46,3.86,15,12-Dec-15,16:15
110,2015,Adelaide Utd,2,1,Sydney FC,N,2.57,3.35,2.7,15,11-Dec-15,19:10
111,2015,Adelaide Utd,1,0,Perth Glory,N,1.8,3.76,4.45,15,06-Dec-15,19:00
112,2015,Western Sydney,2,1,Brisbane Roar,N,1.95,3.54,3.8,15,05-Dec-15,19:30
113,2015,Wellington Phoenix,2,0,Melbourne Victory,N,3.5,3.71,1.99,15,05-Dec-15,19:15
