id,year,position,team
0,2010,1,St George Dragons
1,2010,2,Penrith Panthers
2,2010,3,Wests Tigers
3,2010,4,Gold Coast Titans
4,2009,1,St George Dragons
5,2009,2,Canterbury Bulldogs Bulldogs
6,2009,3,Gold Coast Titans
7,2009,4,Melbourne Storm
8,2011,1,Melbourne Storm
9,2011,2,Manly Sea Eagles
10,2011,3,Brisbane Broncos
11,2011,4,Wests Tigers
12,2012,1,Canterbury Bulldogs
13,2012,2,Melbourne Storm
14,2012,3,South Sydney Rabbitohs
15,2012,4,Manly Sea Eagles
16,2013,1,Sydney Roosters
17,2013,2,South Sydney Rabbitohs
18,2013,3,Melbourne Storm
19,2013,4,Manly Sea Eagles
20,2014,1,Sydney Roosters
21,2014,2,Manly Sea Eagles
22,2014,3,South Sydney Rabbitohs
23,2014,4,Penrith Panthers
24,2014,1,Sydney Roosters
25,2015,2,Brisbane Broncos
26,2015,3,North Queensland
27,2015,4,Melbourne Storm
28,2016,1,Melbourne Storm
29,2016,2,Canberra Raiders
30,2016,3,Cronulla Sharks
31,2016,4,North Queensland
