number,trade_name,address,council,date_of_offence,offence_code,nature,penalty,party_served,date_served,issuer
3136844078,(NO TRADING NAME),CENTENNIAL AVENUE CHATSWOOD 2067,Willoughby,10-08-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to transport potentially hazardous food under temperature control,$440 ,"CHOI, JUNG DAE",11-08-16,Willoughby City Council
3120777249,(NO TRADING NAME),2 RIVERSIDE DRIVE NAROOMA 2546,Eurobodalla,05-01-16,11016 - Contravene condition of licence - Individual,Fail to comply with a condition of licence - harvest oysters during closure,$660 ,"DON MANUWELLGE DON, ANOMA",19-07-16,NSW Food Authority
3013503947,(NO TRADING NAME),33 MARY PARADE RYDALMERE 2116,Parramatta,19-01-16,11318 - Sell unsafe food - Individual,Sale of unsafe food - sushi,$770 ,"PARK, JI YOUNG",19-05-16,NSW Food Authority
3132275255,3 CHIMNEYS,3/63-65 CROWN STREET WOLLONGONG 2500,Wollongong,20-05-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,$880 ,DRB 56 PTY LTD,23-05-16,Wollongong City Council
3132275264,3 CHIMNEYS,3/63-65 CROWN STREET WOLLONGONG 2500,Wollongong,20-05-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",$880 ,DRB 56 PTY LTD,23-05-16,Wollongong City Council
3132275273,3 CHIMNEYS,3/63-65 CROWN STREET WOLLONGONG 2500,Wollongong,20-05-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition - previous warnings given,$880 ,DRB 56 PTY LTD,23-05-16,Wollongong City Council
3124716376,3 MANGOES THAI,95 ENMORE ROAD ENMORE 2042,Marrickville,05-05-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,$880 ,3 MANGOES PTY LTD,10-05-16,Marrickville Municipal Council
3120776203,333 FOOD COMPANY,"UNIT 4, 33-35 SCRIVENER STREET WARWICK FARM 2170",Liverpool,23-02-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,$440 ,"THAI, LONG VINH",21-04-16,NSW Food Authority
3120776212,333 FOOD COMPANY,"UNIT 4, 33-35 SCRIVENER STREET WARWICK FARM 2170",Liverpool,23-02-16,11338 - Fail to comply with Food Standards Code - Individual,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",$440 ,"THAI, LONG VINH",21-04-16,NSW Food Authority
3120776221,333 FOOD COMPANY,"UNIT 4, 33-35 SCRIVENER STREET WARWICK FARM 2170",Liverpool,23-02-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition - previous warnings given,$440 ,"THAI, LONG VINH",21-04-16,NSW Food Authority
